PM2.5,PM10,Temperature,Humidity,CO,NO2,AQI
96.76,165.63,22.47,54.98,7.33,22.93,178.0
237.93,431.94,21.66,67.34,1.93,18.51,417.0
184.34,425.99,18.52,58.13,3.53,94.59,362.0
151.67,249.05,27.15,34.17,6.67,145.26,274.0
43.22,100.74,24.53,39.28,4.87,80.38,105.0
43.22,56.81,32.31,40.97,7.41,17.21,112.0
19.23,42.5,15.64,42.89,9.62,40.97,66.0
217.21,499.98,27.88,58.27,1.25,44.27,427.0
152.27,218.72,30.26,55.2,7.12,57.3,286.0
178.48,314.02,30.19,40.16,2.38,16.1,282.0
10.04,14.21,32.72,33.38,4.2,136.68,73.0
242.63,514.03,29.58,38.57,0.43,82.18,408.0
208.95,396.16,33.56,79.22,1.45,103.93,427.0
57.02,115.52,21.65,53.43,3.27,19.4,120.0
49.55,72.11,25.06,73.37,3.49,17.58,99.0
49.93,73.67,15.28,72.44,9.01,92.11,139.0
79.54,99.74,15.14,55.58,7.44,134.22,173.0
133.57,216.2,19.8,65.33,9.72,83.99,257.0
110.83,213.64,17.02,39.64,6.03,132.89,200.0
76.35,176.78,20.2,64.42,2.49,123.54,188.0
154.9,320.19,18.54,43.62,3.34,20.62,254.0
39.18,69.19,15.57,71.6,3.27,38.27,76.0
76.58,186.77,33.19,34.19,3.33,102.08,163.0
94.76,202.31,15.16,68.66,6.76,72.09,197.0
116.74,281.24,29.72,35.0,5.35,50.7,228.0
197.37,372.21,18.04,74.06,3.92,68.61,357.0
53.92,82.85,33.24,45.21,1.58,72.33,105.0
130.99,166.18,32.86,62.72,0.32,137.48,233.0
150.14,321.89,28.08,54.38,2.27,24.48,271.0
16.38,22.24,28.44,48.32,1.16,49.16,38.0
153.85,245.17,15.11,62.27,7.88,85.26,245.0
46.78,88.51,34.7,77.38,1.21,107.76,127.0
20.94,40.49,32.56,32.06,7.27,98.29,99.0
237.48,470.38,32.9,75.94,3.92,141.83,500.0
241.58,342.11,28.18,60.45,0.83,121.39,394.0
203.06,343.91,21.9,70.37,8.15,87.99,376.0
79.63,159.45,32.87,49.19,5.84,40.06,185.0
28.93,71.19,20.83,53.59,2.43,73.12,78.0
172.64,370.47,26.25,73.44,8.96,107.07,403.0
112.84,270.74,16.99,50.74,0.55,127.31,210.0
34.9,76.46,33.44,56.73,2.1,144.36,123.0
126.32,248.75,17.82,31.01,7.55,94.76,220.0
13.43,19.46,19.5,37.93,7.12,83.77,56.0
227.78,470.76,26.16,62.08,2.96,12.48,417.0
68.4,137.51,30.28,65.85,0.71,20.09,130.0
167.32,331.83,27.39,59.13,8.59,31.85,340.0
81.37,149.45,19.64,37.17,3.21,17.67,124.0
132.42,249.9,15.02,52.27,2.04,66.12,202.0
138.94,227.14,30.14,47.75,5.21,57.16,251.0
50.29,94.3,34.7,54.78,9.11,99.23,162.0
242.55,353.35,31.2,73.52,0.53,84.99,432.0
194.91,437.9,24.2,68.79,7.68,93.44,417.0
235.18,339.01,33.08,34.2,5.77,76.08,346.0
224.23,293.85,23.2,74.52,4.31,48.88,358.0
151.49,267.69,25.5,53.59,7.47,143.4,285.0
230.86,474.6,24.54,67.19,9.66,22.1,466.0
26.68,47.2,23.95,37.0,2.37,141.44,58.0
53.02,82.69,30.5,63.54,1.52,53.57,96.0
16.08,30.97,25.54,41.82,9.14,81.77,81.0
84.71,139.86,21.33,51.92,6.72,25.24,173.0
100.23,241.82,20.16,30.84,4.44,19.93,164.0
71.48,171.51,15.75,37.58,5.78,70.14,144.0
208.04,385.52,26.66,34.6,7.48,113.84,363.0
92.4,150.27,19.6,41.99,7.75,47.71,180.0
73.83,159.34,17.96,35.0,9.21,88.73,168.0
137.96,172.14,28.08,64.6,4.33,49.01,244.0
39.53,71.83,28.62,31.45,3.0,64.41,92.0
201.54,329.96,30.04,60.89,6.43,136.9,379.0
23.26,55.76,25.07,37.04,4.22,129.82,86.0
246.79,300.0,32.88,77.26,5.99,82.24,454.0
194.2,372.6,33.73,76.65,4.26,43.33,402.0
53.69,116.11,31.15,41.28,1.61,37.05,101.0
6.35,11.63,27.71,60.72,4.75,143.57,59.0
204.79,268.48,21.07,31.4,6.94,38.38,281.0
178.18,439.07,34.66,76.59,8.01,123.14,475.0
183.61,343.97,20.48,56.15,4.98,61.66,313.0
193.96,387.62,19.05,32.16,1.74,147.99,286.0
23.14,34.89,23.84,47.12,4.21,61.54,63.0
92.82,169.73,16.14,33.84,7.88,59.21,156.0
33.39,58.69,34.57,49.65,4.19,99.24,102.0
216.46,280.83,26.77,63.5,7.0,144.61,368.0
157.71,211.01,26.14,53.49,5.12,146.67,275.0
86.07,196.99,28.12,49.19,2.49,109.01,182.0
20.57,31.1,24.94,35.96,7.98,115.64,73.0
81.19,118.01,15.64,42.25,0.93,88.88,104.0
84.67,157.18,27.25,35.01,5.3,115.81,159.0
183.75,404.14,29.32,70.37,2.17,130.37,395.0
161.2,206.42,23.33,36.76,0.76,78.05,213.0
222.37,433.58,30.15,59.77,5.08,96.78,439.0
120.69,163.54,19.54,47.14,5.05,85.22,193.0
34.3,42.79,19.43,41.3,7.1,88.75,81.0
179.74,228.02,18.23,61.97,7.47,134.61,306.0
191.39,437.22,22.44,52.85,7.31,59.79,368.0
142.51,192.87,31.94,50.01,4.15,39.15,240.0
193.89,244.04,31.56,59.64,6.35,73.88,333.0
125.98,222.89,22.66,54.56,5.81,39.13,230.0
133.07,305.69,26.78,45.17,4.27,79.78,262.0
109.75,169.14,29.42,57.95,6.01,136.49,235.0
11.23,19.63,19.82,63.47,9.48,96.44,84.0
31.43,39.35,18.36,31.33,2.01,129.76,73.0
12.7,22.65,34.44,53.29,9.07,33.27,71.0
160.92,313.94,27.35,32.88,0.63,136.12,249.0
82.02,159.29,34.63,39.32,3.15,94.25,160.0
129.6,211.53,21.76,58.03,2.95,14.45,218.0
227.35,366.08,29.06,73.31,6.3,98.64,439.0
66.08,88.45,19.45,74.14,1.4,143.2,132.0
105.54,176.98,20.22,33.5,8.84,21.08,167.0
190.11,252.72,25.24,50.96,8.3,91.54,316.0
61.06,134.11,21.39,59.15,6.56,138.17,154.0
23.86,58.6,18.35,37.35,4.64,11.36,51.0
75.99,187.02,20.26,68.27,9.34,98.33,206.0
44.5,103.44,15.71,67.21,8.32,76.49,136.0
232.78,461.14,29.09,75.17,5.04,58.58,483.0
202.99,428.54,24.84,30.42,7.05,97.86,356.0
160.18,251.61,16.88,40.83,5.71,17.38,213.0
218.51,441.39,18.43,71.36,5.92,115.43,418.0
201.9,361.87,17.05,63.53,3.38,10.63,318.0
50.71,92.63,27.25,74.72,4.67,52.97,113.0
223.68,488.76,16.88,32.86,0.87,80.55,332.0
137.14,214.83,30.09,59.85,3.64,62.78,247.0
202.82,327.24,15.41,58.45,6.99,53.05,324.0
224.54,539.36,19.99,31.78,9.54,126.32,405.0
82.91,105.55,32.81,55.68,9.63,140.88,200.0
31.96,58.53,29.37,60.48,5.6,132.32,123.0
60.84,145.21,16.46,39.56,6.11,83.14,111.0
109.64,218.57,31.42,43.67,1.94,133.78,217.0
205.41,392.41,24.86,62.02,6.98,138.92,389.0
215.88,329.14,31.94,53.42,0.8,67.29,341.0
6.7,11.04,27.01,72.9,2.92,49.68,44.0
130.13,300.3,28.64,47.12,6.72,23.76,255.0
107.27,206.7,34.87,43.33,3.17,77.07,198.0
59.42,111.06,19.65,79.24,0.59,142.48,158.0
34.37,45.69,27.48,75.56,8.34,88.53,108.0
87.72,107.09,24.21,31.45,3.17,103.46,151.0
236.01,578.89,15.79,68.54,0.72,25.8,424.0
84.18,142.28,15.29,35.52,0.84,30.09,107.0
132.1,262.12,17.38,31.37,2.59,75.03,205.0
177.24,231.05,27.98,43.68,1.86,143.18,285.0
94.09,196.46,26.34,43.47,7.77,60.51,189.0
243.09,586.41,26.07,70.97,3.28,132.85,500.0
240.8,469.17,15.64,65.53,8.07,26.84,425.0
66.69,90.96,24.39,79.08,1.82,96.38,137.0
126.83,248.1,33.49,65.58,4.98,94.09,297.0
78.72,172.88,22.95,50.91,6.91,130.38,195.0
74.79,129.26,27.5,64.95,6.55,10.46,179.0
14.04,32.9,30.6,79.97,6.05,36.59,77.0
154.34,315.37,30.68,65.51,9.26,40.76,348.0
128.16,303.61,25.39,68.08,2.36,143.0,293.0
17.61,35.41,32.16,76.92,4.99,31.52,71.0
73.27,100.43,22.83,35.68,8.85,15.17,141.0
227.53,364.63,32.77,65.24,0.87,84.82,407.0
63.69,93.14,19.8,72.54,0.65,84.0,122.0
40.5,96.45,20.6,77.72,2.41,128.17,128.0
124.92,273.38,16.06,40.55,6.37,142.84,238.0
246.48,512.52,30.91,55.2,2.67,85.4,475.0
64.3,102.32,23.34,64.03,1.98,140.2,127.0
169.67,244.2,19.58,42.37,4.64,111.52,248.0
191.6,418.33,19.64,60.02,6.17,47.04,367.0
63.22,114.84,33.03,42.88,2.56,139.98,157.0
183.41,273.93,31.68,46.67,3.08,103.44,287.0
95.11,190.37,26.07,52.08,6.17,67.97,195.0
159.91,200.28,27.32,56.46,9.46,105.23,292.0
160.21,260.19,24.49,52.47,6.78,66.18,273.0
136.26,246.52,22.83,54.66,7.85,25.99,244.0
27.12,37.76,33.31,44.93,3.73,110.66,87.0
209.65,519.94,17.51,37.95,2.8,125.37,376.0
83.59,123.03,23.37,32.37,4.6,112.03,125.0
50.7,69.43,21.89,39.8,8.09,42.08,106.0
14.99,21.95,24.96,59.1,4.62,143.93,81.0
149.77,329.46,24.15,69.31,8.48,13.54,330.0
171.0,299.8,25.38,38.46,9.89,56.58,303.0
9.06,17.54,17.8,35.43,0.81,46.41,41.0
130.46,160.12,25.26,67.46,0.55,16.74,191.0
60.49,75.3,19.85,45.26,1.58,66.8,106.0
163.07,290.19,18.69,77.57,3.91,97.24,298.0
47.72,107.93,16.3,65.72,1.4,133.56,114.0
174.28,409.7,30.25,46.34,8.72,148.56,377.0
99.75,130.94,23.55,44.48,0.33,123.13,161.0
234.5,445.52,27.53,56.18,3.23,75.62,419.0
38.69,92.37,29.55,33.96,1.93,111.32,100.0
88.56,150.94,28.59,35.88,9.32,128.11,193.0
32.8,74.73,24.41,38.79,6.73,75.14,104.0
231.55,318.1,22.76,68.74,9.13,119.91,413.0
219.95,531.4,22.52,55.69,9.73,77.57,444.0
68.2,148.45,27.8,30.53,5.02,64.11,132.0
166.7,404.03,24.9,63.68,2.42,83.65,345.0
205.22,426.77,31.98,51.18,2.02,104.62,400.0
141.02,235.85,32.49,55.54,2.31,111.76,285.0
134.76,326.08,18.41,40.71,7.12,59.94,258.0
64.25,100.12,17.72,57.59,0.5,89.98,118.0
27.81,45.38,27.61,78.96,0.61,137.38,67.0
224.82,474.6,21.02,33.67,6.12,146.68,399.0
225.6,495.18,15.37,44.2,6.46,41.81,374.0
160.11,385.58,32.77,42.15,6.69,37.0,334.0
88.06,129.12,19.54,42.43,3.78,104.74,146.0
90.56,202.61,33.59,48.94,8.08,68.06,213.0
182.86,395.0,29.35,70.91,5.38,13.39,377.0
224.79,288.39,30.25,75.64,1.14,58.56,390.0
222.34,378.73,19.03,40.11,7.99,122.94,342.0
196.07,307.36,19.68,57.15,9.54,121.64,335.0
162.3,259.0,25.43,61.84,0.69,79.26,262.0
25.61,63.47,18.44,56.09,3.97,76.16,66.0
44.6,90.79,21.11,51.7,4.93,91.13,111.0
225.15,480.23,21.43,39.6,1.55,40.72,366.0
153.58,379.27,18.19,54.41,8.69,83.65,313.0
7.25,12.26,19.1,50.06,2.91,11.55,12.0
29.86,66.96,30.77,69.78,7.85,76.58,125.0
167.56,295.72,18.34,68.18,6.74,57.05,302.0
6.24,14.54,15.57,36.7,6.02,104.48,62.0
44.4,63.7,27.59,34.43,2.0,99.37,81.0
139.44,339.12,34.52,75.41,2.28,63.32,332.0
174.51,259.05,21.62,56.78,0.57,11.02,247.0
164.73,267.54,17.37,72.89,2.48,45.32,269.0
59.95,130.87,26.41,32.91,3.52,98.67,124.0
179.48,307.26,33.13,56.33,8.35,20.13,343.0
63.13,125.66,30.68,56.97,3.73,25.07,118.0
84.72,150.63,27.45,73.04,7.57,100.58,207.0
187.89,406.8,21.3,34.88,4.45,115.81,326.0
164.16,245.72,25.84,42.02,7.87,55.02,280.0
213.06,271.86,16.82,50.33,9.77,78.55,311.0
166.12,264.11,28.58,73.29,2.47,142.4,336.0
144.24,262.02,29.5,76.94,8.64,142.38,346.0
27.95,39.65,34.3,79.64,6.26,53.05,87.0
95.09,157.97,20.21,77.96,8.19,123.4,206.0
69.97,120.35,15.37,30.3,6.55,93.15,139.0
64.78,82.57,25.91,32.39,4.3,146.57,121.0
243.39,476.63,29.14,37.38,2.36,76.87,390.0
101.31,238.04,30.81,47.44,0.79,118.46,190.0
223.55,312.36,18.87,71.5,5.4,117.54,364.0
159.63,315.61,20.24,74.63,9.9,79.64,346.0
199.73,412.27,25.25,39.34,7.41,121.39,359.0
128.15,223.63,21.61,60.98,3.34,46.55,212.0
146.34,308.99,32.21,75.87,8.29,27.12,343.0
125.67,217.9,24.48,53.19,7.71,69.52,255.0
52.83,98.06,30.99,35.18,2.89,142.11,108.0
182.0,220.14,26.61,52.89,0.24,80.1,252.0
73.79,154.9,30.46,48.79,1.27,98.94,166.0
10.96,22.57,21.65,58.88,8.79,97.38,87.0
163.14,203.91,31.63,51.93,8.38,28.56,281.0
48.39,81.24,20.49,30.87,3.02,64.64,79.0
235.41,582.11,25.92,79.7,2.92,108.97,500.0
238.71,417.02,19.28,57.18,7.95,146.08,411.0
229.14,424.49,24.51,53.68,9.38,33.52,404.0
95.69,228.02,21.36,77.73,7.81,67.46,231.0
8.79,18.74,20.33,37.79,6.1,23.31,52.0
232.44,454.81,34.34,39.46,2.5,43.93,402.0
109.91,245.87,18.2,70.4,5.3,62.75,235.0
